dataset,method,phase,success,status,reason,source,selected_success
embryoid_body,ours_oracle_neighbors,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,no_repulsion,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,exact_repulsion_diagnostic,internal_baselines,True,success,NaN,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/baseline_comparison.csv,True
embryoid_body,standard_umap,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/timing.json,True
embryoid_body,reduced_repulsion_umap,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/timing.json,True
embryoid_body,weighted_knn,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/timing.json,True
embryoid_body,ours,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/timing.json,True
embryoid_body,ours_oracle_neighbors,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/timing.json,True
embryoid_body,no_repulsion,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/timing.json,True
embryoid_body,exact_repulsion_diagnostic,internal_timing,True,success,,/home/suzuki/Learn/UMAPing/runs/embryoid_body/main/metrics/timing.json,True
coil20,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,False
coil20,parametric_umap,external,False,failed,ValueError: reference埋め込みのshapeまたは有限性が不正です,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil20/parametric_umap/result.json,False
coil20,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
coil20,numap,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil20/numap/result.json,True
coil20,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/summary.csv,True
coil20,paramrepulsor,external,True,success,NaN,/home/suzuki/Learn/UMAPing/runs_external_baselines/20260914T070151Z_3800762/coil20/paramrepulsor/result.json,True
