method,query_index,label,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg
ours_full,309,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.13257569441924033
ours_full,310,gamma,0.2,0.2,0.2,0.1,0.2107361763494756
ours_full,311,gamma,0.0,0.0,0.06666666666666667,0.16666666666666666,0.24393614687992654
ours_full,312,gamma,0.0,0.0,0.0,0.0,0.0
ours_full,313,gamma,0.0,0.0,0.13333333333333333,0.2,0.17242929069055868
ours_full,314,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.11983223282472673
ours_full,315,gamma,0.0,0.0,0.06666666666666667,0.13333333333333333,0.12564629452074505
ours_full,316,gamma,0.0,0.0,0.13333333333333333,0.2,0.2092442818530297
ours_full,317,gamma,0.2,0.2,0.26666666666666666,0.3333333333333333,0.2883110167029992
ours_full,318,gamma,0.0,0.1,0.13333333333333333,0.13333333333333333,0.11490449203043039
ours_full,319,gamma,0.4,0.2,0.2,0.26666666666666666,0.24141325251692375
