query_index,label,recall_at_5_standard_umap,recall_at_15_standard_umap,recall_at_5_umaping,recall_at_15_umaping,delta_recall_at_5,delta_recall_at_15
135,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
136,gamma,0.0,0.0666666666666666,0.0,0.0,0.0,-0.0666666666666666
137,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
138,gamma,0.2,0.2,0.0,0.0666666666666666,-0.2,-0.13333333333333341
139,gamma,0.0,0.0666666666666666,0.2,0.2666666666666666,0.2,0.2
140,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
141,gamma,0.0,0.0,0.0,0.2666666666666666,0.0,0.2666666666666666
142,gamma,0.0,0.1333333333333333,0.0,0.2,0.0,0.06666666666666671
143,gamma,0.0,0.2,0.2,0.2666666666666666,0.2,0.0666666666666666
144,gamma,0.0,0.2666666666666666,0.0,0.2,0.0,-0.0666666666666666
145,gamma,0.2,0.1333333333333333,0.0,0.2,-0.2,0.06666666666666671
146,gamma,0.0,0.0666666666666666,0.2,0.2,0.2,0.13333333333333341
147,gamma,0.0,0.0,0.2,0.0666666666666666,0.2,0.0666666666666666
148,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
149,gamma,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0,0.0
150,gamma,0.0,0.1333333333333333,0.2,0.0666666666666666,0.2,-0.06666666666666671
151,gamma,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333
152,gamma,0.0,0.0,0.2,0.3333333333333333,0.2,0.3333333333333333
153,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
154,gamma,0.0,0.2666666666666666,0.0,0.0666666666666666,0.0,-0.2
155,gamma,0.0,0.1333333333333333,0.2,0.1333333333333333,0.2,0.0
156,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
157,gamma,0.2,0.1333333333333333,0.0,0.0666666666666666,-0.2,-0.06666666666666671
158,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
159,gamma,0.2,0.1333333333333333,0.0,0.2666666666666666,-0.2,0.1333333333333333
160,gamma,0.2,0.2666666666666666,0.0,0.0666666666666666,-0.2,-0.2
161,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
162,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
163,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
164,gamma,0.0,0.2666666666666666,0.2,0.2,0.2,-0.0666666666666666
165,gamma,0.0,0.2,0.2,0.2,0.2,0.0
166,gamma,0.2,0.0666666666666666,0.2,0.1333333333333333,0.0,0.06666666666666671
167,gamma,0.4,0.4666666666666667,0.4,0.4666666666666667,0.0,0.0
168,gamma,0.0,0.0666666666666666,0.0,0.2,0.0,0.13333333333333341
169,gamma,0.2,0.0666666666666666,0.0,0.1333333333333333,-0.2,0.06666666666666671
170,gamma,0.0,0.2,0.0,0.1333333333333333,0.0,-0.06666666666666671
171,gamma,0.2,0.1333333333333333,0.2,0.1333333333333333,0.0,0.0
172,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
173,gamma,0.0,0.0666666666666666,0.0,0.1333333333333333,0.0,0.06666666666666671
174,gamma,0.0,0.2,0.0,0.0,0.0,-0.2
175,gamma,0.0,0.1333333333333333,0.2,0.0666666666666666,0.2,-0.06666666666666671
176,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
177,gamma,0.0,0.1333333333333333,0.0,0.0666666666666666,0.0,-0.06666666666666671
178,gamma,0.2,0.2666666666666666,0.4,0.2666666666666666,0.2,0.0
179,gamma,0.0,0.1333333333333333,0.2,0.1333333333333333,0.2,0.0
180,gamma,0.0,0.0666666666666666,0.0,0.0666666666666666,0.0,0.0
181,gamma,0.0,0.0,0.0,0.0666666666666666,0.0,0.0666666666666666
182,gamma,0.2,0.1333333333333333,0.2,0.2666666666666666,0.0,0.1333333333333333
