split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,seed
query,B_branch_6,106,1.0,1.0,1.0,1.0,3.1421406357313097e-16,-3.665830741687892e-17,5.37096572667717e-15,3.4678758816357487e-15,-3.665830741687892e-17,3.4678758816357487e-15,0.0,0.0,,,0,,0,-5.3845816694320234e-15,5.2180482157382215e-15,1.0,pca,disconnected,0
reference,all,4000,0.69965,0.8253333333333335,0.69965,0.8253333333333335,-0.4486600268574993,-0.0052046206367893,0.5189643075959398,0.275318838267839,-0.0052046206367893,0.275318838267839,0.0,0.00075,,,0,,0,-0.3913161215461413,0.454536363122621,0.802324702450026,umap,disconnected,0
reference,internal,4000,0.69965,0.8253333333333335,0.69965,0.8253333333333335,-0.4486600268574993,-0.0052046206367893,0.5189643075959398,0.275318838267839,-0.0052046206367893,0.275318838267839,0.0,0.00075,,,0,,0,-0.3913161215461413,0.454536363122621,0.802324702450026,umap,disconnected,0
reference,A_spiral,1334,0.7499250374812594,0.9247376311844078,0.7499250374812594,0.9247376311844078,-0.5300476230066494,-0.1117178523991078,0.5372424993305038,0.1603476220843491,-0.1117178523991078,0.1603476220843491,0.0,0.0,,,0,,0,-0.2975897737534657,0.0947037408085235,0.802324702450026,umap,disconnected,0
reference,B_tree,1332,0.5852852852852852,0.7592592592592593,0.5852852852852852,0.7592592592592593,-0.3387065175403375,0.2156564479456327,0.4710795794807672,0.3714489495223151,0.2156564479456327,0.3714489495223151,0.0,0.0022522522522522,,,0,,0,-0.224380478207108,0.6729243542000353,0.802324702450026,umap,disconnected,0
reference,C_ellipse,1334,0.7635682158920539,0.7919040479760119,0.7635682158920539,0.7919040479760119,-0.4770610921854554,-0.1192213314170392,0.5484990527799738,0.294304066302182,-0.1192213314170392,0.294304066302182,0.0,0.0,,,0,,0,-0.7529750662974628,0.28440237875973,0.802324702450026,umap,disconnected,0
reference,B_branch_0,180,0.6044444444444445,0.7488888888888888,0.6044444444444445,0.7488888888888888,-0.5112664172812754,0.0294797216547345,0.5666792065693906,0.3062911530265293,0.0294797216547345,0.3062911530265293,0.0,0.0,,,0,,0,-0.4649470497187036,0.592769335903986,0.802324702450026,umap,disconnected,0
reference,B_branch_1,170,0.5611764705882353,0.7619607843137253,0.5611764705882353,0.7619607843137253,0.0100516883526501,0.5184220567028025,0.3180472483899018,0.5189339808302726,0.5184220567028025,0.5189339808302726,0.0,0.0,,,0,,0,0.2399285425972421,0.83338054217853,0.802324702450026,umap,disconnected,0
reference,B_branch_2,170,0.5529411764705883,0.7537254901960784,0.5529411764705883,0.7537254901960784,-0.2900913681128772,0.3367442672968625,0.3653334963695644,0.3514300732710358,0.3367442672968625,0.3514300732710358,0.0,0.0,,,0,,0,0.0135412067520573,0.7094165719900298,0.802324702450026,umap,disconnected,0
reference,B_branch_3,212,0.6075471698113208,0.7581761006289307,0.6075471698113208,0.7581761006289307,-0.3468775532716974,0.1887808760116651,0.4967934965816886,0.367844835659775,0.1887808760116651,0.367844835659775,0.0,0.0,,,0,,0,-0.3414390956324892,0.6421397300092256,0.802324702450026,umap,disconnected,0
reference,B_branch_4,194,0.6144329896907216,0.7948453608247422,0.6144329896907216,0.7948453608247422,-0.4058387856483262,0.1312089010141249,0.5124212365799572,0.3345552390602593,0.1312089010141249,0.3345552390602593,0.0,0.0,,,0,,0,-0.3472876395531956,0.6046771151849059,0.802324702450026,umap,disconnected,0
