comparison,condition,seed,split,group,delta_within_recall15,delta_abs_log_radius15,delta_log_radius15,delta_bridge_edge_loss15
FitGrid minus UMAP,disconnected,1,reference,B_branch_3,0.004716981132075415,0.019157829245437796,-0.0029093670095539093,
FitGrid minus UMAP,disconnected,1,reference,B_branch_4,0.0017182130584191269,0.07582463237729292,0.11963449286733463,
FitGrid minus UMAP,disconnected,1,reference,B_branch_5,-0.00996563573883169,0.018979619578115392,-0.1823898867787529,
FitGrid minus UMAP,disconnected,1,reference,B_branch_6,-0.002515723270440251,-0.0866698310733588,0.047575809513824896,
FitGrid minus UMAP,disconnected,1,query,all,-0.02536666666666665,0.02260793408907158,-0.017646749180403293,
FitGrid minus UMAP,disconnected,1,query,internal,-0.02536666666666665,0.02260793408907158,-0.017646749180403293,
FitGrid minus UMAP,disconnected,1,query,A_spiral,-0.01919040479760148,0.04305407879376261,0.020830419043618,
FitGrid minus UMAP,disconnected,1,query,B_tree,-0.009309309309309288,0.0015401155639934716,-0.0516968676075837,
FitGrid minus UMAP,disconnected,1,query,C_ellipse,-0.04757621189405303,0.023198021974638383,-0.022124848630058314,
FitGrid minus UMAP,disconnected,1,query,B_branch_0,-0.017037037037037295,0.05875284750085613,-0.1334541807694852,
FitGrid minus UMAP,disconnected,1,query,B_branch_1,-0.005490196078431375,-0.13970845653397868,-0.2065007657573581,
FitGrid minus UMAP,disconnected,1,query,B_branch_2,-0.027450980392156876,0.036414152921763976,0.041470441281686976,
FitGrid minus UMAP,disconnected,1,query,B_branch_3,-0.010062893081761004,0.041527677656318596,0.0066545845608801946,
FitGrid minus UMAP,disconnected,1,query,B_branch_4,0.0,0.06927464262875649,0.07549264722407859,
FitGrid minus UMAP,disconnected,1,query,B_branch_5,-0.008934707903780148,-0.0022069352656284846,-0.2147616488150062,
FitGrid minus UMAP,disconnected,1,query,B_branch_6,0.0006289308176100628,-0.06027853724728649,0.04162308692360021,
FitGrid minus UMAP,disconnected,2,reference,all,-0.015149999999999886,0.03330264753399781,-0.0356418692729075,
FitGrid minus UMAP,disconnected,2,reference,internal,-0.015149999999999886,0.03330264753399781,-0.0356418692729075,
FitGrid minus UMAP,disconnected,2,reference,A_spiral,-0.01509245377311319,0.09366360311043959,0.04921948297864231,
FitGrid minus UMAP,disconnected,2,reference,B_tree,-0.0012512512512513618,-0.05122525936120781,-0.18836755231447078,
FitGrid minus UMAP,disconnected,2,reference,C_ellipse,-0.029085457271364246,0.05734287035666724,0.03199348747956221,
FitGrid minus UMAP,disconnected,2,reference,B_branch_0,-0.010370370370370252,-0.012344316958073087,-0.125190038783611,
FitGrid minus UMAP,disconnected,2,reference,B_branch_1,0.011372549019607825,-0.15189458465425187,-0.3623168521334326,
FitGrid minus UMAP,disconnected,2,reference,B_branch_2,-0.006274509803921746,-0.14544907212631208,-0.2751222430264716,
FitGrid minus UMAP,disconnected,2,reference,B_branch_3,0.010691823899371067,-0.011552498670452604,-0.15542427100543238,
FitGrid minus UMAP,disconnected,2,reference,B_branch_4,0.008934707903780037,0.012630376096189888,-0.21901231529985732,
FitGrid minus UMAP,disconnected,2,reference,B_branch_5,-0.008247422680412453,0.0036422525181112886,-0.0825975901266999,
FitGrid minus UMAP,disconnected,2,reference,B_branch_6,-0.014465408805031665,-0.07627078772178414,-0.1346436765034783,
FitGrid minus UMAP,disconnected,2,query,all,-0.025299999999999878,0.05050318497984335,-0.0446652347838664,
FitGrid minus UMAP,disconnected,2,query,internal,-0.025299999999999878,0.05050318497984335,-0.0446652347838664,
FitGrid minus UMAP,disconnected,2,query,A_spiral,-0.019590204897551367,0.0860385932012353,0.04581354030225189,
FitGrid minus UMAP,disconnected,2,query,B_tree,-0.005905905905906006,-0.0013489715261675306,-0.1938048389800107,
FitGrid minus UMAP,disconnected,2,query,C_ellipse,-0.05037481259370313,0.06674219389938607,0.013771996718669188,
