method,query_index,recall_at_5,recall_at_10,recall_at_15,recall_at_30,ndcg,fuzzy_weighted_mse,fuzzy_weighted_bce,local_displacement,repulsion_accumulation_score,periphery_percentile,label
standard_umap,89,0.4,0.6,0.8,1.0,1.0,0.014415465950222112,0.10326825293117084,1.8044357006905802,0.9351487159729004,85.18518518518519,14
standard_umap,90,0.2,0.6,0.8666666666666667,0.8,0.8626138240218336,0.009677471161832527,0.08319989196902605,0.9281444641452842,0.39033156633377075,55.55555555555556,15
standard_umap,91,0.8,1.0,0.8666666666666667,0.9333333333333333,0.9545339282879746,0.0179837103917815,0.09885762021334607,0.1127947576116236,0.2635672688484192,24.074074074074073,15
standard_umap,92,1.0,1.0,0.9333333333333333,0.9,0.9312439704592761,0.014725802151942923,0.09052822807835709,0.23045513662526823,0.37015876173973083,14.814814814814813,15
standard_umap,93,0.8,0.9,0.8666666666666667,0.8,0.8612632235111648,0.017352118279808454,0.08311292603340778,0.16039271426633325,0.2484857738018036,5.555555555555555,15
standard_umap,94,0.8,0.9,0.9333333333333333,0.7666666666666667,0.839658188209994,0.012600295820314137,0.0934111880913415,0.1870643130663622,0.3438487946987152,18.51851851851852,15
standard_umap,95,1.0,0.9,1.0,0.8333333333333334,0.8875941306458415,0.0067477120262714844,0.05482370608967595,0.4146325783650398,0.6191936731338501,37.03703703703704,15
standard_umap,96,1.0,0.9,0.9333333333333333,0.8333333333333334,0.884236754371908,0.0012525383557251057,0.02683885132721917,0.11274141880723412,0.2719455659389496,48.148148148148145,15
standard_umap,97,1.0,0.9,0.9333333333333333,0.9333333333333333,0.9526891080215633,0.0039180420994751036,0.03420851685792385,0.17918369593571612,0.40091821551322937,85.18518518518519,15
standard_umap,98,0.4,0.9,0.8666666666666667,0.9,0.9327942945756746,0.009220246761037745,0.07093085194790005,0.7633381499277123,0.6908964514732361,44.44444444444444,15
standard_umap,99,0.8,0.9,0.9333333333333333,0.8666666666666667,0.9094484615341157,0.004659931655423856,0.05277290639689356,0.10353090775262068,0.21449606120586395,85.18518518518519,15
standard_umap,100,0.8,0.8,0.8666666666666667,0.8333333333333334,0.8867947400901349,0.01287504013366526,0.10758078367982175,0.9753887638173357,0.8127594590187073,100.0,15
standard_umap,101,0.8,0.9,1.0,0.8,0.8631126263645141,0.0038571449828110377,0.03605992945193941,0.2255243146855047,0.4101825952529907,72.22222222222221,15
standard_umap,102,0.8,0.9,0.8,0.6666666666666666,0.7617832775802279,0.032254648229206886,0.13998468338365308,0.4457000760980392,0.6655282974243164,42.592592592592595,15
standard_umap,103,0.6,0.8,0.8,0.6666666666666666,0.7588062452986002,0.08570532386116145,0.3309857274175858,0.04472160960690904,0.09276825934648514,0.0,15
standard_umap,104,0.6,0.9,0.9333333333333333,0.7333333333333333,0.8150455035658218,0.009492051405202541,0.08255541809822742,0.09168174085204855,0.4379207491874695,38.88888888888889,15
standard_umap,105,0.0,0.4,0.6,0.8666666666666667,0.9095461688000734,0.02512470128178657,0.16495659475561786,1.5719569364434214,0.7877033948898315,29.629629629629626,15
standard_umap,106,0.4,0.8,0.8,0.7333333333333333,0.8163915561307596,0.0054807037131214004,0.07108144491946583,0.8534554965150281,0.5193487405776978,42.592592592592595,15
standard_umap,107,0.8,0.9,0.8666666666666667,0.9,0.9327942945756746,0.01065374669759853,0.0804286382218471,0.6535887094264219,0.7271749973297119,61.111111111111114,15
standard_umap,108,0.4,0.7,0.8,0.8666666666666667,0.9077423172848949,0.0026342342589218094,0.04882049663283154,0.4681822092566501,0.20665475726127625,40.74074074074074,16
standard_umap,109,0.8,0.8,0.7333333333333333,0.7666666666666667,0.8277565495012221,0.010463469845137921,0.08927266433633187,1.2401244677046188,0.877747118473053,75.92592592592592,16
