split,group,n,recall5,recall15,within_recall5,within_recall15,log_radius5,log_radius15,abs_log_radius5,abs_log_radius15,within_log_radius15,within_abs_log_radius15,wrong_turn15,wrong_branch15,bridge_near_recall15,bridge_edge_loss15,bridge_true_edges15,bridge_cross_edge_loss15,bridge_cross_true_edges15,log_radius15_q10,log_radius15_q90,scale,method,condition,stage
reference,B_branch_1,170,0.10823529411764705,0.25882352941176473,0.14941176470588236,0.40235294117647064,0.38250958753714676,0.3735122989725437,0.45503609256039496,0.402973770027751,0.6555373138530757,0.6594865025119381,0.0,0.038431372549019606,,,0,,0,-0.0004031308523990985,0.7381553209320445,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,B_branch_2,170,0.08,0.18588235294117647,0.08705882352941174,0.21058823529411763,0.5216339407977779,0.5238228808437091,0.5786942407957097,0.5322673743170087,0.6128485619638143,0.619966246426454,0.0,0.10235294117647058,,,0,,0,0.12108379390839086,0.9592347677545102,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,B_branch_3,212,0.0820754716981132,0.2232704402515723,0.09245283018867925,0.2682389937106919,0.2854331726983367,0.25427494129500255,0.411159650372929,0.3288337622735294,0.3439519769822483,0.3865598355072019,0.0,0.0330188679245283,,,0,,0,-0.15702301952580763,0.7084097901589369,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,B_branch_4,194,0.01958762886597938,0.11786941580756014,0.02577319587628866,0.15189003436426113,0.5152705025368812,0.48184773610725484,0.5365368626318275,0.48881453114998524,0.6263070878086161,0.630835676421037,0.0,0.04467353951890034,,,0,,0,0.0980257492850043,0.876424445992699,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,B_branch_5,194,0.04329896907216496,0.16597938144329893,0.04536082474226805,0.19759450171821302,0.545173074557514,0.4871371449501758,0.5739768546528439,0.4937349296146455,0.6130521077658635,0.6143737070867448,0.0,0.07216494845360824,,,0,,0,0.17588863301460358,0.8296189155395932,0.3056641893988963,baseline_3_to_2,disconnected,0.25
reference,B_branch_6,212,0.05471698113207548,0.1974842767295597,0.05471698113207548,0.1974842767295597,0.4225536760991374,0.3882783804714679,0.5480544591121986,0.4302190066200306,0.3885219381759727,0.4304625643245355,0.0,0.07012578616352201,,,0,,0,-0.058675244263251616,0.9472674399128929,0.3056641893988963,baseline_3_to_2,disconnected,0.25
query,all,1333,0.09302325581395349,0.23420855213803454,0.10712678169542386,0.26841710427606896,0.17856368588729302,0.07805804130097982,0.41762011746114086,0.35601640331604034,0.15601246290953488,0.3854425839943412,0.07991997999499875,0.023905976494123533,,,0,,0,-0.42684921568085327,0.686330719886953,0.3056641893988963,baseline_3_to_2,disconnected,0.25
query,internal,1333,0.09302325581395349,0.23420855213803454,0.10712678169542386,0.26841710427606896,0.17856368588729302,0.07805804130097982,0.41762011746114086,0.35601640331604034,0.15601246290953488,0.3854425839943412,0.07991997999499875,0.023905976494123533,,,0,,0,-0.42684921568085327,0.686330719886953,0.3056641893988963,baseline_3_to_2,disconnected,0.25
query,A_spiral,667,0.10164917541229387,0.24207896051974012,0.11754122938530735,0.28135932033983013,-0.10447222402893988,-0.24054428620175466,0.2906027714908194,0.2785717092898389,-0.15234073517473284,0.28087867497265984,0.15972013993003498,0.0,,,0,,0,-0.5349634415014117,0.043583241242650235,0.3056641893988963,baseline_3_to_2,disconnected,0.25
query,B_tree,666,0.08438438438438439,0.22632632632632635,0.09669669669669669,0.25545545545545545,0.4620245746472439,0.3971387506768415,0.5448281801671534,0.43357738066660556,0.46482865378371896,0.4901634958824215,0.0,0.047847847847847846,,,0,,0,-0.0631044503194694,0.8269009101833267,0.3056641893988963,baseline_3_to_2,disconnected,0.25
