condition,method,stage,split,k,recall
sparse_bridge,spectral_100_pca_2,0.5,reference,15,0.4160919540229885
sparse_bridge,spectral_100_pca_2,0.5,reference,50,0.6380809595202399
sparse_bridge,spectral_100_pca_2,0.5,reference,100,0.6304647676161919
sparse_bridge,spectral_100_pca_2,0.5,reference,200,0.5928110944527736
sparse_bridge,spectral_100_pca_2,0.5,reference,400,0.6961075712143928
sparse_bridge,spectral_100_pca_2,0.5,query,5,0.2044977511244378
sparse_bridge,spectral_100_pca_2,0.5,query,15,0.4780609695152424
sparse_bridge,spectral_100_pca_2,0.5,query,50,0.6805397301349325
sparse_bridge,spectral_100_pca_2,0.5,query,100,0.6506146926536732
sparse_bridge,spectral_100_pca_2,0.5,query,200,0.5964242878560719
sparse_bridge,spectral_100_pca_2,0.5,query,400,0.6959782608695652
sparse_bridge,spectral_100_pca_2,0.75,reference,5,0.20704647676161922
sparse_bridge,spectral_100_pca_2,0.75,reference,15,0.5863068465767117
sparse_bridge,spectral_100_pca_2,0.75,reference,50,0.7563268365817092
sparse_bridge,spectral_100_pca_2,0.75,reference,100,0.6787181409295352
sparse_bridge,spectral_100_pca_2,0.75,reference,200,0.612859820089955
sparse_bridge,spectral_100_pca_2,0.75,reference,400,0.7141754122938531
sparse_bridge,spectral_100_pca_2,0.75,query,5,0.2851574212893553
sparse_bridge,spectral_100_pca_2,0.75,query,15,0.672063968015992
sparse_bridge,spectral_100_pca_2,0.75,query,50,0.7822488755622189
sparse_bridge,spectral_100_pca_2,0.75,query,100,0.6903748125937031
sparse_bridge,spectral_100_pca_2,0.75,query,200,0.6154947526236882
sparse_bridge,spectral_100_pca_2,0.75,query,400,0.714531484257871
sparse_bridge,spectral_100_pca_2,1.0,reference,5,0.7554722638680659
sparse_bridge,spectral_100_pca_2,1.0,reference,15,0.8719140429785108
sparse_bridge,spectral_100_pca_2,1.0,reference,50,0.823103448275862
sparse_bridge,spectral_100_pca_2,1.0,reference,100,0.6960644677661169
sparse_bridge,spectral_100_pca_2,1.0,reference,200,0.6140592203898051
sparse_bridge,spectral_100_pca_2,1.0,reference,400,0.7188418290854572
sparse_bridge,spectral_100_pca_2,1.0,query,5,0.7166416791604198
sparse_bridge,spectral_100_pca_2,1.0,query,15,0.8727636181909045
sparse_bridge,spectral_100_pca_2,1.0,query,50,0.8277961019490254
sparse_bridge,spectral_100_pca_2,1.0,query,100,0.7013643178410793
sparse_bridge,spectral_100_pca_2,1.0,query,200,0.615592203898051
sparse_bridge,spectral_100_pca_2,1.0,query,400,0.7187556221889055
